OBJECTID,lagoslakei,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,437,6875,6187500.000000000000000,120.000000000000000,43086.000000000000000,42966.000000000000000,19230.242763636364543,9802.306771136361931,132207919.000000000000000
2,444,4874,4386600.000000000000000,120.000000000000000,18146.000000000000000,18026.000000000000000,7737.119203939269937,4274.653297287532951,37710719.000000000000000
3,448,8705,7834500.000000000000000,120.000000000000000,14696.000000000000000,14576.000000000000000,6236.685582998276914,3334.050061566512795,54290348.000000000000000
4,449,20008,18007200.000000000000000,120.000000000000000,17175.000000000000000,17055.000000000000000,5818.047680927628790,3593.071966321236232,116407498.000000000000000
5,473,10671,9603900.000000000000000,120.000000000000000,11686.000000000000000,11566.000000000000000,3882.244025864492414,2598.479267650555812,41427426.000000000000000
6,480,415,373500.000000000000000,8704.000000000000000,16678.000000000000000,7974.000000000000000,12717.130120481928316,2238.634902982569201,5277609.000000000000000
7,481,9684,8715600.000000000000000,120.000000000000000,27212.000000000000000,27092.000000000000000,13313.481825691862468,6679.701219318732910,128927758.000000000000000
8,484,4598,4138200.000000000000000,120.000000000000000,17599.000000000000000,17479.000000000000000,7077.992605480643761,4211.030442429757386,32544610.000000000000000
9,487,11119,10007100.000000000000000,120.000000000000000,30471.000000000000000,30351.000000000000000,13398.764906916088876,6501.068761363290832,148980867.000000000000000
10,492,96,86400.000000000000000,19000.000000000000000,24822.000000000000000,5822.000000000000000,22335.250000000000000,1489.753370248467263,2144184.000000000000000
11,501,2636,2372400.000000000000000,10639.000000000000000,28851.000000000000000,18212.000000000000000,20937.498103186648223,3510.073068866576705,55191245.000000000000000
12,528,15440,13896000.000000000000000,120.000000000000000,31086.000000000000000,30966.000000000000000,9639.666450777202044,6093.260794388668728,148836450.000000000000000
13,536,37592,33832800.000000000000000,120.000000000000000,30874.000000000000000,30754.000000000000000,6176.451585443711338,5469.427992108587205,232185168.000000000000000
14,541,13287,11958300.000000000000000,150.000000000000000,30555.000000000000000,30405.000000000000000,14494.179197712050154,7228.374681804560169,192584159.000000000000000
15,547,4946,4451400.000000000000000,120.000000000000000,20260.000000000000000,20140.000000000000000,10127.483623129801344,4385.703277054417413,50090534.000000000000000
16,548,1006,905400.000000000000000,14609.000000000000000,23634.000000000000000,9025.000000000000000,19158.485089463221811,1977.166856541115976,19273436.000000000000000
17,575,28594,25734600.000000000000000,120.000000000000000,16805.000000000000000,16685.000000000000000,5029.909666363572796,3094.795354506050444,143825237.000000000000000
18,577,2862,2575800.000000000000000,120.000000000000000,23763.000000000000000,23643.000000000000000,9245.769042627533054,6667.614326207900376,26461391.000000000000000
19,597,21956,19760400.000000000000000,120.000000000000000,27252.000000000000000,27132.000000000000000,9939.920522863909355,6986.482142493319770,218240895.000000000000000
20,602,94827,85344300.000000000000000,120.000000000000000,35361.000000000000000,35241.000000000000000,9309.238022925959740,6148.463958736326276,882767114.000000000000000
21,608,8814,7932600.000000000000000,120.000000000000000,25078.000000000000000,24958.000000000000000,10536.367710460630406,5761.747742779435612,92867545.000000000000000
22,613,20305,18274500.000000000000000,120.000000000000000,45515.000000000000000,45395.000000000000000,17766.251563654273923,10542.164451477234252,360743738.000000000000000
23,615,2329,2096100.000000000000000,450.000000000000000,24566.000000000000000,24116.000000000000000,15082.965221124946765,5144.590704144917254,35128226.000000000000000
24,617,20821,18738900.000000000000000,120.000000000000000,28996.000000000000000,28876.000000000000000,10066.434753373996500,5827.601664073586107,209593238.000000000000000
25,621,12566,11309400.000000000000000,120.000000000000000,28085.000000000000000,27965.000000000000000,9434.575600827629387,6675.792262816360562,118554877.000000000000000
26,622,278,250200.000000000000000,7193.000000000000000,17808.000000000000000,10615.000000000000000,13971.805755395684173,1631.790768863507765,3884162.000000000000000
27,627,4187,3768300.000000000000000,2157.000000000000000,20560.000000000000000,18403.000000000000000,9610.141628851206406,3730.115883991316878,40237663.000000000000000
28,628,2768,2491200.000000000000000,4853.000000000000000,24993.000000000000000,20140.000000000000000,16462.878973988437792,4596.874136178221306,45569249.000000000000000
29,631,9068,8161200.000000000000000,120.000000000000000,28218.000000000000000,28098.000000000000000,7178.332487869431134,5693.977774626733662,65093119.000000000000000
30,643,23656,21290400.000000000000000,120.000000000000000,38261.000000000000000,38141.000000000000000,9475.643008116334386,7206.270826895365644,224155811.000000000000000
31,655,6408,5767200.000000000000000,120.000000000000000,23651.000000000000000,23531.000000000000000,9050.537765293383927,5077.029915474077825,57995846.000000000000000
32,658,9473,8525700.000000000000000,120.000000000000000,24399.000000000000000,24279.000000000000000,7229.041275203208897,5501.836604678622280,68480708.000000000000000
33,659,2579,2321100.000000000000000,6369.000000000000000,22432.000000000000000,16063.000000000000000,13560.826289259402984,3357.143683141738165,34973371.000000000000000
34,668,28553,25697700.000000000000000,120.000000000000000,19941.000000000000000,19821.000000000000000,5499.338038034532474,4452.117164664345182,157022599.000000000000000
35,670,15299,13769100.000000000000000,120.000000000000000,28100.000000000000000,27980.000000000000000,11337.999934636251055,6181.868850258487328,173460061.000000000000000
36,671,7450,6705000.000000000000000,120.000000000000000,14643.000000000000000,14523.000000000000000,4963.678120805368962,3028.382598778051488,36979402.000000000000000
37,674,5117,4605300.000000000000000,2820.000000000000000,22625.000000000000000,19805.000000000000000,13482.912253273401802,4255.771273210197251,68992062.000000000000000
38,683,313,281700.000000000000000,135.000000000000000,9576.000000000000000,9441.000000000000000,4414.070287539936544,2796.947593664390752,1381604.000000000000000
39,688,16588,14929200.000000000000000,120.000000000000000,22126.000000000000000,22006.000000000000000,7303.006510730649097,5390.720082325371550,121142272.000000000000000
40,690,12197,10977300.000000000000000,135.000000000000000,23081.000000000000000,22946.000000000000000,9418.593506599983812,4872.565053634745709,114878585.000000000000000
41,693,10519,9467100.000000000000000,120.000000000000000,35772.000000000000000,35652.000000000000000,17205.753018347750185,8113.218265372531278,180987316.000000000000000
42,696,12049,10844100.000000000000000,120.000000000000000,39203.000000000000000,39083.000000000000000,13099.016930865631366,8678.761596310425375,157830055.000000000000000
43,697,17998,16198200.000000000000000,120.000000000000000,28248.000000000000000,28128.000000000000000,10760.192688076453123,6218.512188008669000,193661948.000000000000000
44,707,2885,2596500.000000000000000,3928.000000000000000,23269.000000000000000,19341.000000000000000,12870.207625649913098,4122.697634223828572,37130549.000000000000000
45,708,17849,16064100.000000000000000,120.000000000000000,23506.000000000000000,23386.000000000000000,8499.038209423497392,5711.224913545839627,151699333.000000000000000
46,714,13093,11783700.000000000000000,120.000000000000000,26575.000000000000000,26455.000000000000000,7347.628045520506930,5599.970893467402675,96202494.000000000000000
47,717,11661,10494900.000000000000000,120.000000000000000,29007.000000000000000,28887.000000000000000,11365.372009261642233,6238.204036286273549,132531603.000000000000000
48,731,1228,1105200.000000000000000,7863.000000000000000,16880.000000000000000,9017.000000000000000,12270.406351791531051,1659.243450846772703,15068059.000000000000000
49,740,6729,6056100.000000000000000,120.000000000000000,20927.000000000000000,20807.000000000000000,9765.258285034922665,5210.583927172119729,65710423.000000000000000
50,747,4218,3796200.000000000000000,120.000000000000000,20654.000000000000000,20534.000000000000000,9929.561640587955480,4343.158764067794436,41882891.000000000000000
51,752,12521,11268900.000000000000000,120.000000000000000,25925.000000000000000,25805.000000000000000,12318.447088890663508,6371.056349397925260,154239276.000000000000000
52,753,2930,2637000.000000000000000,3729.000000000000000,15345.000000000000000,11616.000000000000000,7664.524573378839705,1955.651254420974738,22457057.000000000000000
53,776,969,872100.000000000000000,4969.000000000000000,17090.000000000000000,12121.000000000000000,11494.902992776058454,2889.055118314239735,11138561.000000000000000
54,785,9164,8247600.000000000000000,120.000000000000000,25730.000000000000000,25610.000000000000000,10642.695875163684832,5884.896653870438968,97529665.000000000000000
55,790,8224,7401600.000000000000000,120.000000000000000,18776.000000000000000,18656.000000000000000,5891.255107003890771,4130.044233152932975,48449682.000000000000000
56,795,8301,7470900.000000000000000,135.000000000000000,45065.000000000000000,44930.000000000000000,16026.742079267558438,7762.353582280571572,133037986.000000000000000
57,807,790,711000.000000000000000,150.000000000000000,12209.000000000000000,12059.000000000000000,5763.043037974683102,3057.562194019875733,4552804.000000000000000
58,810,12071,10863900.000000000000000,120.000000000000000,30815.000000000000000,30695.000000000000000,9262.038936293596635,5797.621880088148828,111802072.000000000000000
59,812,7886,7097400.000000000000000,120.000000000000000,24483.000000000000000,24363.000000000000000,12354.908318539182801,5722.779006681059400,97430807.000000000000000
60,818,12818,11536200.000000000000000,120.000000000000000,25129.000000000000000,25009.000000000000000,9740.097285067873599,5043.842614684812361,124848567.000000000000000
61,820,18859,16973100.000000000000000,120.000000000000000,55890.000000000000000,55770.000000000000000,16031.625059653215430,10709.294973097785260,302340417.000000000000000
62,821,12159,10943100.000000000000000,120.000000000000000,22428.000000000000000,22308.000000000000000,9219.926227485813797,4815.758082664802714,112105083.000000000000000
63,822,5724,5151600.000000000000000,120.000000000000000,24888.000000000000000,24768.000000000000000,12107.647274633123743,5362.197704749064542,69304173.000000000000000
64,830,7654,6888600.000000000000000,135.000000000000000,17680.000000000000000,17545.000000000000000,7539.532793310687339,3673.238412451580189,57707584.000000000000000
65,831,6221,5598900.000000000000000,120.000000000000000,26052.000000000000000,25932.000000000000000,8361.559556341424468,6723.162666987504963,52017262.000000000000000
66,832,3969,3572100.000000000000000,120.000000000000000,20173.000000000000000,20053.000000000000000,6180.271604938271594,4317.299683496635225,24529498.000000000000000
67,834,19045,17140500.000000000000000,120.000000000000000,24590.000000000000000,24470.000000000000000,6739.731793121553892,4863.290957819022879,128358192.000000000000000
68,835,15756,14180400.000000000000000,120.000000000000000,25312.000000000000000,25192.000000000000000,13169.114432597105406,6767.857859893419118,207492567.000000000000000
69,836,12855,11569500.000000000000000,120.000000000000000,25415.000000000000000,25295.000000000000000,9078.607934655776262,5966.265768200581078,116705505.000000000000000
70,840,1383,1244700.000000000000000,120.000000000000000,9218.000000000000000,9098.000000000000000,2405.061460592914045,1836.821594585832372,3326200.000000000000000
71,845,11870,10683000.000000000000000,120.000000000000000,55010.000000000000000,54890.000000000000000,19107.578601516426716,14683.671862008875905,226806958.000000000000000
72,847,10055,9049500.000000000000000,120.000000000000000,22835.000000000000000,22715.000000000000000,8837.926404773745162,5562.647528753161168,88865350.000000000000000
73,851,10434,9390600.000000000000000,120.000000000000000,23498.000000000000000,23378.000000000000000,9753.291259344450737,6317.695482567409272,101765841.000000000000000
74,852,206,185400.000000000000000,3410.000000000000000,20572.000000000000000,17162.000000000000000,10490.868932038834828,3148.069816601886487,2161119.000000000000000
75,854,1590,1431000.000000000000000,135.000000000000000,10589.000000000000000,10454.000000000000000,4911.534591194968925,2281.653808178570671,7809340.000000000000000
76,864,10886,9797400.000000000000000,120.000000000000000,17129.000000000000000,17009.000000000000000,5860.248668013962742,4044.980072697822379,63794667.000000000000000
77,867,40972,36874800.000000000000000,120.000000000000000,43103.000000000000000,42983.000000000000000,13775.626745094210492,8467.049946262999583,564414979.000000000000000
78,868,14243,12818700.000000000000000,120.000000000000000,34847.000000000000000,34727.000000000000000,10193.809309836411558,7627.619211454020842,145190426.000000000000000
79,877,18216,16394400.000000000000000,120.000000000000000,25495.000000000000000,25375.000000000000000,11570.018061045235299,6289.284008610768979,210759449.000000000000000
80,887,10059,9053100.000000000000000,120.000000000000000,18097.000000000000000,17977.000000000000000,5724.529774331444059,3928.458837159332688,57583045.000000000000000
81,895,8676,7808400.000000000000000,120.000000000000000,19823.000000000000000,19703.000000000000000,5596.708045182111164,3796.248249000028409,48557039.000000000000000
82,900,9974,8976600.000000000000000,120.000000000000000,23706.000000000000000,23586.000000000000000,8386.421094846600681,6027.519433789027971,83646164.000000000000000
83,909,18820,16938000.000000000000000,120.000000000000000,44340.000000000000000,44220.000000000000000,10379.670403825717585,7051.382516844366364,195345397.000000000000000
