"","LAGOSLAKEI","Rowid_","A_1","A_2","A_3","buff_area_ha","GAP12_buff_ha","GAP123_buff_ha","GAP12_buff_pct","GAP123_buff_pct"
"1",437,NA,0,41400,0,1605.5384388185,4.14,4.14,0.00257857420283664,0.00257857420283664
"2",473,NA,0,626400,0,1801.98444662863,62.64,62.64,0.0347616762826085,0.0347616762826085
"3",536,NA,0,59400,14652900,4407.42484750536,5.94,1471.23,0.00134772575949017,0.333807166520997
"4",541,NA,0,0,8043300,1253.99517422207,0,804.33,0,0.641413951611873
"5",547,NA,0,0,3517200,1404.62002221906,0,351.72,0,0.250402240062293
"6",575,NA,0,16200,2115000,5612.77227608767,1.62,213.12,0.000288627423368262,0.0379705410297803
"7",597,NA,0,35100,0,2269.17116356533,3.51,3.51,0.00154682029119614,0.00154682029119614
"8",602,NA,0,1565100,376200,13529.6070868375,156.51,194.13,0.0115679634297927,0.0143485319827849
"9",621,NA,0,531900,0,2466.05661640062,53.19,53.19,0.0215688478708305,0.0215688478708305
"10",627,NA,0,12600,0,1671.68697968684,1.26,1.26,0.000753729624810523,0.000753729624810523
"11",631,NA,424800,14400,3182400,1610.09907039867,43.92,362.16,0.0272778245807727,0.224930258428339
"12",643,NA,0,15602400,0,4060.59573859852,1560.24,1560.24,0.384239185686213,0.384239185686213
"13",658,NA,0,1111500,0,1926.01977644853,111.15,111.15,0.0577096878023518,0.0577096878023518
"14",659,NA,56700,396000,0,1123.03676469788,45.27,45.27,0.040310345505188,0.040310345505188
"15",668,NA,0,172800,0,3030.54020347341,17.28,17.28,0.00570195372435409,0.00570195372435409
"16",670,NA,0,154800,0,1761.44393462498,15.48,15.48,0.00878824451673269,0.00878824451673269
"17",674,NA,0,24300,0,1184.26534181474,2.43,2.43,0.00205190502009991,0.00205190502009991
"18",688,NA,0,0,14056200,1639.90447344811,0,1405.62,0,0.857135292182294
"19",708,NA,0,0,3018600,1845.56900134066,0,301.86,0,0.16355931410894
"20",714,NA,0,6386400,1296900,1311.02897022941,638.64,768.33,0.487128823620312,0.586051122779962
"21",731,NA,0,1055700,0,1323.26501229259,105.57,105.57,0.0797799375176534,0.0797799375176534
"22",740,NA,0,0,158400,1768.62109329062,0,15.84,0,0.0089561297555989
"23",752,NA,0,628200,0,1412.38118240545,62.82,62.82,0.044478077719083,0.044478077719083
"24",753,NA,0,1924200,0,1029.8636830697,192.42,192.42,0.186840261641672,0.186840261641672
"25",776,NA,0,0,45900,1177.99606354923,0,4.59,0,0.00389644765549609
"26",790,NA,0,2675700,0,1222.07004432198,267.57,267.57,0.218948170150469,0.218948170150469
"27",812,NA,0,1037700,0,1450.60184764854,103.77,103.77,0.071535825056485,0.071535825056485
"28",818,NA,0,0,8101800,1217.40929988008,0,810.18,0,0.665495162620989
"29",820,NA,0,1800,0,3060.68469729833,0.18,0.18,5.88103701628876e-05,5.88103701628876e-05
"30",830,NA,0,3855600,0,1752.68715765803,385.56,385.56,0.219982213206373,0.219982213206373
"31",831,NA,0,51300,0,2183.32562398345,5.13,5.13,0.00234962661714214,0.00234962661714214
"32",834,NA,0,0,7210800,2015.84329956415,0,721.08,0,0.357706375369506
"33",835,NA,0,0,4765500,2170.56961688935,0,476.55,0,0.219550663702253
"34",836,NA,0,12600,0,1946.04665545953,1.26,1.26,0.000647466491342918,0.000647466491342918
"35",840,NA,0,18900,0,1109.59107844509,1.89,1.89,0.00170333020579845,0.00170333020579845
"36",847,NA,0,294300,0,1265.87595356574,29.43,29.43,0.0232487234764995,0.0232487234764995
"37",864,NA,0,7919100,0,1939.71130604478,791.91,791.91,0.408261784901778,0.408261784901778
"38",867,NA,0,277200,0,4397.29576578395,27.72,27.72,0.00630387435289063,0.00630387435289063
"39",877,NA,0,0,14454900,1770.31978243253,0,1445.49,0,0.816513499054847
"40",887,NA,0,5841000,0,1061.88830163125,584.1,584.1,0.550057853639329,0.550057853639329
"41",909,NA,0,514800,0,1848.15162759236,51.48,51.48,0.0278548573782685,0.0278548573782685
"42",914,NA,0,0,800100,1631.43747336835,0,80.01,0,0.0490426395777259
"43",923,NA,0,0,2355300,1155.08530144139,0,235.53,0,0.203907018560526
"44",934,NA,0,7638300,0,1589.57538113102,763.83,763.83,0.480524553328523,0.480524553328523
"45",937,NA,0,359100,0,1212.72708159368,35.91,35.91,0.0296109491946116,0.0296109491946116
"46",943,NA,0,2700,2322900,943.816072293713,0.27,232.56,0.000286072687174982,0.246403941220051
"47",949,NA,0,18000,0,1454.02379121873,1.8,1.8,0.00123794398060796,0.00123794398060796
"48",959,NA,0,0,5049900,1220.71579060388,0,504.99,0,0.413683515759376
"49",970,NA,0,0,607500,1145.33045747136,0,60.75,0,0.0530414603084273
